14:31:59:851|10524 |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
09:26:46:446|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
09:26:46:471|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:27:16:902|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
09:27:16:943|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:27:37:329|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:27:37:373|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:28:00:641|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:28:00:688|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:36:48:961|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:37:44:917|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
